Affy Probe Id,Gene,Ensembl gene ID,gene.index,RP/Rsum,FC:(class1/class2),pfp,P.value,
202948_at,IL1R1,ENSG00000115594,2477,3.6205,-57.1468,0,0,
204584_at,L1CAM,ENSG00000198910,4111,46.3247,-5.05076,0,0,
221207_s_at,NBEA,ENSG00000172915,20570,51.9831,-7.12406,0,0,
205780_at,BIK,ENSG00000100290,5307,52.1232,-7.87729,0,0,
209380_s_at,ABCC5,ENSG00000114770,8873,57.7246,-7.64597,0,0,
211559_s_at,CCNG2,ENSG00000138764,10964,58.2658,-6.15987,0,0,
213711_at,KRT81,ENSG00000205426,13091,59.725,-8.47198,0,0,
210139_s_at,PMP22,ENSG00000109099,9623,79.0481,-6.62169,0,0,
207655_s_at,BLNK,ENSG00000095585,7176,88.843,-5.44148,0,0,
211597_s_at,HOPX,ENSG00000171476,11002,89.1334,-7.86311,0,0,
202708_s_at,HIST2H2BE,ENSG00000184678,2236,91.3499,-5.24048,0,0,
217892_s_at,LIMA1,ENSG00000050405,17257,94.6074,-5.50255,0,0,
217783_s_at,YPEL5,ENSG00000119801,17148,95.1102,-5.52203,0,0,
222209_s_at,TMEM135,ENSG00000166575,21569,106.9782,-5.94056,0,0,
201341_at,ENC1,ENSG00000171617,869,110.9828,-5.36471,0,0,
220407_s_at,TGFB2,ENSG00000092969,19771,120.4585,-4.43766,0,0,
202770_s_at,CCNG2,ENSG00000138764,2298,121.0161,-5.20862,0,0,
208978_at,CRIP2,ENSG00000182809,8472,124.571,-5.11665,0,0,
218627_at,DRAM1,ENSG00000136048,17992,127.2341,-5.37178,0,0,
200878_at,EPAS1,ENSG00000116016,406,128.6049,-6.66544,0,0,
215071_s_at,HIST1H2AC,ENSG00000180573,14445,133.5934,-4.77202,0,0,
218309_at,CAMK2N1,ENSG00000162545,17674,142.147,-5.07849,0,0,
216836_s_at,ERBB2,ENSG00000141736,16206,142.2378,-4.6696,0,0,
213413_at,STON1,ENSG00000243244,12794,155.0682,-3.57167,0,0,
203728_at,BAK1,ENSG00000030110,3255,155.2273,-3.70635,0,0,
203304_at,BAMBI,ENSG00000095739,2831,156.2512,-4.90346,0,0,
204567_s_at,ABCG1,ENSG00000160179,4094,157.0113,-5.39791,0,0,
201939_at,PLK2,ENSG00000145632,1467,158.5218,-4.57826,0,0,
202806_at,DBN1,ENSG00000113758,2334,159.7043,-3.87206,0,0,
202769_at,CCNG2,ENSG00000138764,2297,160.949,-4.43582,0,0,
213555_at,RWDD2A,ENSG00000013392,12936,162.3463,-4.40273,0,0,
210096_at,CYP4B1,ENSG00000142973,9580,165.9853,-4.24893,0,0,
222258_s_at,SH3BP4,ENSG00000130147,21617,167.8958,-4.53562,0,0,
202597_at,IRF6,ENSG00000117595,2125,168.9018,-3.72515,0,0,
212977_at,CXCR7,ENSG00000144476,12360,170.8068,-3.87635,0,0,
203407_at,PPL,ENSG00000118898,2934,174.3797,-4.21023,0,0,
219768_at,VTCN1,ENSG00000134258,19132,175.0028,-5.89177,0,0,
212364_at,MYO1B,ENSG00000128641,11749,177.0669,-4.56305,0,0,
209369_at,ANXA3,ENSG00000138772,8862,180.3269,-4.76739,0,0,
37117_at,ARHGAP8,ENSG00000241484,21868,180.7018,-4.57446,0,0,
212347_x_at,MXD4,ENSG00000123933,11732,189.6836,-4.454,0,0,
218532_s_at,FAM134B,ENSG00000154153,17897,189.7041,-4.45925,0,0,
218510_x_at,FAM134B,ENSG00000154153,17875,189.8622,-4.6612,0,0,
217025_s_at,DBN1,ENSG00000113758,16395,195.7876,-3.58233,0,0,
209566_at,INSIG2,ENSG00000125629,9056,198.908,-5.67335,0,0,
203722_at,ALDH4A1,ENSG00000159423,3249,201.9541,-4.18985,0,0,
218704_at,RNF43,ENSG00000108375,18068,202.2532,-3.71124,0,0,
218182_s_at,CLDN1,ENSG00000163347,17547,207.5954,-3.59128,0,0,
205980_s_at,ARHGAP8,ENSG00000241484,5507,209.8457,-4.46977,0,0,
210778_s_at,MXD4,ENSG00000123933,10238,211.5375,-3.7355,0,0,
212365_at,MYO1B,ENSG00000128641,11750,212.3042,-3.95424,0,0,
202986_at,ARNT2,ENSG00000172379,2515,214.461,-6.00099,0,0,
203184_at,FBN2,ENSG00000138829,2712,214.5803,-4.81021,0,0,
201842_s_at,EFEMP1,ENSG00000115380,1370,215.4243,-5.47402,0,0,
203413_at,NELL2,ENSG00000184613,2940,228.4039,-3.8683,0,0,
212724_at,RND3,ENSG00000115963,12109,234.4476,-4.29572,0,0,
205673_s_at,ASB9,ENSG00000102048,5200,235.0881,-3.86294,0,0,
209909_s_at,TGFB2,ENSG00000092969,9395,237.5264,-3.64091,0,0,
209102_s_at,HBP1,ENSG00000105856,8596,243.0306,-3.9291,0,0,
211518_s_at,BMP4,ENSG00000125378,10924,248.4605,-3.63436,0,0,
203038_at,PTPRK,ENSG00000152894,2567,248.8892,-4.01361,0,0,
214433_s_at,SELENBP1,ENSG00000143416,13812,251.7196,-4.59798,0,0,
204971_at,CSTA,ENSG00000121552,4498,253.0622,-5.94963,0,0,
204149_s_at,GSTM4,ENSG00000168765,3676,261.0633,-3.56499,0,0,
202241_at,TRIB1,ENSG00000173334,1769,262.1836,-3.7169,0,0,
207302_at,SGCG,ENSG00000102683,6826,264.4025,-3.59976,0,0,
209747_at,TGFB3,ENSG00000119699,9235,264.7066,-3.91063,0,0,
210829_s_at,SSBP2,ENSG00000145687,10289,266.3907,-4.54853,0,0,
209772_s_at,CD24P4,ENSG00000185275,9260,268.9665,-3.91388,0,0,
201041_s_at,DUSP1,ENSG00000120129,569,270.329,-4.36717,0,0,
207522_s_at,ATP2A3,ENSG00000074370,7043,274.0375,-3.78922,0,0,
212993_at,NACC2,ENSG00000148411,12376,278.7905,-3.4909,0,0,
214746_s_at,ZNF467,ENSG00000181444,14122,279.4129,-3.62203,0,0,
208792_s_at,CLU,ENSG00000120885,8287,280.1508,-4.19567,0,0,
209343_at,EFHD1,ENSG00000115468,8836,282.7517,-3.40298,0,0,
218421_at,CERK,ENSG00000100422,17786,284.1491,-3.73084,0,0,
205691_at,SYNGR3,ENSG00000127561,5218,284.7063,-3.909,0,0,
208180_s_at,HIST1H4H,ENSG00000158406,7686,292.9004,-3.96494,0,0,
209911_x_at,HIST1H2BD,ENSG00000158373,9397,297.2368,-3.65355,0,0,
221042_s_at,CLMN,ENSG00000165959,20406,308.3276,-4.8706,0,0,
204589_at,NUAK1,ENSG00000074590,4116,314.4696,-3.22076,0,0,
212841_s_at,PPFIBP2,ENSG00000166387,12226,318.2415,-4.30049,0,0,
209386_at,TM4SF1,ENSG00000169908,8879,321.1278,-4.48902,0,0,
208791_at,CLU,ENSG00000120885,8286,321.6241,-3.78738,0,0,
212543_at,AIM1,ENSG00000112297,11928,323.5656,-3.69917,0,0,
204004_at,nil,nil,nil,3531,324.057,-3.49671,0,0
201236_s_at,BTG2,ENSG00000159388,764,326.0443,-3.38628,0,0,
206385_s_at,ANK3,ENSG00000151150,5911,326.5245,-4.49151,0,0,
207847_s_at,MUC1,ENSG00000185499,7366,327.4502,-3.70867,0,0,
203739_at,ZNF217,ENSG00000171940,3266,327.6066,-3.65837,0,0,
202048_s_at,CBX6,ENSG00000183741,1576,330.5827,-3.34174,0,0,
204547_at,RAB40B,ENSG00000141542,4074,335.9519,-3.76174,0,0,
220613_s_at,SYTL2,ENSG00000137501,19977,340.0239,-3.29733,0,0,
219734_at,SIDT1,ENSG00000072858,19098,340.1848,-3.92801,0,0,
216920_s_at,TRGC1,ENSG00000211689,16290,342.818,-3.80501,0,0,
203256_at,CDH3,ENSG00000062038,2783,344.0851,-3.18678,0,0,
209813_x_at,TRGC1,ENSG00000211689,9299,345.564,-3.9611,0,0,
219622_at,RAB20,ENSG00000139832,18986,346.4984,-3.5502,0,0,
203911_at,RAP1GAP,ENSG00000076864,3438,355.6229,-3.89953,0,0,
202454_s_at,ERBB3,ENSG00000065361,1982,370.7792,-3.56673,0,0,
208682_s_at,SNORA11,ENSG00000221716,8177,378.5045,-3.78266,0,0,
218284_at,SMAD3,ENSG00000166949,17649,380.9178,-3.45767,0,0,
209018_s_at,PINK1,ENSG00000158828,8512,388.1866,-3.31843,0,0,
203394_s_at,HES1,ENSG00000114315,2921,389.38,-3.19674,0,0,
213693_s_at,MUC1,ENSG00000185499,13073,390.0699,-3.55932,0,0,
202047_s_at,CBX6,ENSG00000183741,1575,394.413,-3.33203,0,0,
211113_s_at,ABCG1,ENSG00000160179,10557,397.8938,-3.65355,0,0,
205258_at,INHBB,ENSG00000163083,4785,404.0704,-3.3042,0,0,
203787_at,SSBP2,ENSG00000145687,3314,405.3026,-4.48902,0,0,
202369_s_at,TRAM2,ENSG00000065308,1897,406.2374,-3.42214,0,0,
202023_at,EFNA1,ENSG00000169242,1551,406.9644,-4.07077,0,0,
213036_x_at,ATP2A3,ENSG00000074370,12419,410.549,-3.27842,0,0,
204967_at,SHROOM2,ENSG00000146950,4494,411.2285,-3.37526,0,0,
204653_at,TFAP2A,ENSG00000137203,4180,411.2775,-3.762,0,0,
218606_at,ZDHHC7,ENSG00000153786,17971,411.9241,-3.34568,0,0,
266_s_at,nil,nil,nil,21745,413.9267,-3.57688,0,0
212256_at,GALNT10,ENSG00000164574,11642,417.595,-4.03789,0,0,
209696_at,FBP1,ENSG00000165140,9184,418.8777,-3.82087,0,0,
217853_at,TNS3,ENSG00000136205,17218,418.9746,-3.43426,0,0,
203642_s_at,COBLL1,ENSG00000082438,3169,422.5844,-3.50424,0,0,
218280_x_at,HIST2H2AA4,ENSG00000203812,17645,423.7456,-3.23037,0,0,
201926_s_at,CD55,ENSG00000196352,1454,424.9034,-3.69994,0,0,
207414_s_at,PCSK6,ENSG00000140479,6936,431.2942,-2.88386,0,0,
211552_s_at,ALDH4A1,ENSG00000159423,10957,432.5336,-3.28342,0,0,
201549_x_at,KDM5B,ENSG00000117139,1077,432.602,-3.22366,0,0,
221788_at,PGM3,ENSG00000013375,21148,436.2043,-3.26097,0,0,
212658_at,LHFPL2,ENSG00000145685,12043,439.6517,-3.22567,0,0,
203414_at,MMD,ENSG00000108960,2941,439.8372,-3.60151,0,0,
215806_x_at,TRGC1,ENSG00000211689,15179,442.9553,-3.608,0,0,
218507_at,C7orf68,ENSG00000135245,17872,443.4156,-3.39544,0,0,
202350_s_at,MATN2,ENSG00000132561,1878,444.6241,-3.5125,0,0,
213629_x_at,MT1F,ENSG00000198417,13009,446.4503,-3.62882,0,0,
208083_s_at,ITGB6,ENSG00000115221,7592,446.5685,-4.30078,0,0,
217028_at,CXCR4,ENSG00000121966,16398,450.7399,-4.82256,0,0,
208651_x_at,nil,nil,nil,8148,456.1258,-3.36568,0,0
202525_at,PRSS8,ENSG00000052344,2053,457.0683,-3.31613,0,0,
202295_s_at,CTSH,ENSG00000103811,1823,457.0965,-3.13247,0,0,
202555_s_at,MYLK,ENSG00000065534,2083,458.3844,-3.1696,0,0,
218487_at,ALAD,ENSG00000148218,17852,458.5402,-3.2259,0,0,
201340_s_at,ENC1,ENSG00000171617,868,465.1534,-3.30466,0,0,
218273_s_at,PDP1,ENSG00000164951,17638,466.2447,-3.09706,0,0,
209034_at,PNRC1,ENSG00000146278,8528,467.1193,-3.0199,0,0,
203757_s_at,CEACAM6,ENSG00000086548,3284,470.8925,-3.97237,0,0,
212124_at,ZMIZ1,ENSG00000108175,11510,474.3065,-3.18766,0,0,
